題目_ID,題目,標準答案,來源文件,模型回答,命中來源文件
1,文中提到台中市2月2日當天的氣溫變化範圍為何？,凌晨約攝氏16度左右，白天最高溫約23度。,data_01.txt,根據資料，台中市2月2日的氣溫在當天的變化範圍約為 **16 °C（凌晨）至 23 °C（白天最高溫）**。,data_01.txt
2,Google Cloud 推出的 N4A 虛擬機器採用哪一款處理器？,Google Axion 處理器（Arm 架構）。,data_04.txt,Google Cloud 的 N4A 虛擬機器採用自行研發的 **Google Axion 處理器**（最新一代），搭載 Arm Neoverse N3 平台的運算核心。,data_04.txt
3,根據林氏璧的指出，日本這波流感主要流行哪兩種病毒型別？其占比為何？,以A型H3為主（占74%），混著B型流感（占26%）。,data_03.txt,,data_03.txt
4,LiteRT 的 GPU 加速效能平均比原本的 TensorFlow Lite GPU 委派快多少？,快約 1.4 倍。,data_05.txt,根據 Google 的測試，LiteRT 的 GPU 加速效能在多種模型的平均情境下，約比既有的 TensorFlow Lite GPU 委派快 **1.4 倍**。,data_05.txt
5,台灣南部與北部的降雨特徵有何主要差異？,北部全年有雨；南部呈現夏雨冬乾（5月至9月為雨季，10月至翌年4月為乾季）。,data_02.txt,"根據資料，台灣北部與南部的降雨特徵主要差異如下：

| 項目 | 北部 | 南部 |
|------|------|------|
| 年雨量 | 約 2,000–2,500 mm，全年都有雨 | 約 1,500–2,000 mm，雨量較少 |
| 降雨分布 | **全年皆有雨**，冬季受東北季風影響，東北部迎風面多雨（如「竹風蘭雨」與基隆「雨港」） | **夏雨冬乾**，5 ~ 9 月為雨季，10 ~",data_02.txt
6,Google Cloud 的 N4A 虛擬機器在今年1月底擴增的區域中，包含哪一個亞洲地區？,asia-southeast1（新加坡）。,data_04.txt,根據資料，擴增的區域中包含亞洲地區 **asia‑southeast1（新加坡）**。,data_04.txt
7,LiteRT 目前支援哪些平台的 GPU 加速？,支援 Android、iOS、macOS、Windows、Linux 與 Web。,data_05.txt,"根據目前的資料，LiteRT 的 GPU 加速支援以下平台：

- Android  
- iOS  
- macOS  
- Windows  
- Linux  
- Web",data_05.txt
8,根據日本流感疫情報告，東京目前比較流行的區域有哪些？,八王子市、町田市、中野區、豐島區、北區、荒川區、江東區。,data_03.txt,"根據日本流感疫情報告，東京目前比較流行的區域包括：

- 八王子市  
- 町田市  
- 中野區  
- 豐島區  
- 北區  
- 荒川區  
- 江東區  ",data_03.txt
9,針對台中市2月2日的天氣，文中建議民眾該如何穿著？,穿著輕薄的長袖衣物，並隨身攜帶一件薄外套。,data_01.txt,根據資料，建議在2月2日於台中市外出時穿著輕薄的長袖衣物，並隨身攜帶一件薄外套，以因應早晚的溫差。,data_01.txt
10,台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到什麼風的影響？,東北季風。,data_02.txt,主要受到冬季吹來的**東北季風**影響。,data_02.txt
